country,latitude,longitude
Algeria,35.05416667,-2.12277778
Algeria,32.12166667,-1.23527778
Algeria,28.58916667,-8.67055556
Algeria,27.22361111,-8.67055556
Algeria,19.00611111,3.34722222
Algeria,19.42472222,5.88055556
Algeria,23.39666667,12.10277778
Algeria,26.14416667,9.36916667
Algeria,31.90194444,9.08861111
Algeria,33.865,7.45166667
Algeria,34.63194444,8.35
Algeria,36.98305556,8.43888889
Algeria,35.05416667,-2.12277778
Burundi,-4.44194444,29.42361111
Burundi,-4.46944444,29.76861111
Burundi,-3.7675,30.33833333
Burundi,-3.78527778,30.40388889
Burundi,-3.56416667,30.45138889
Burundi,-3.37305556,30.63694444
Burundi,-3.38472222,30.70305556
Burundi,-3.25916667,30.84083333
Burundi,-2.97805556,30.83472222
Burundi,-2.99027778,30.67277778
Burundi,-2.95472222,30.505
Burundi,-2.865,30.42138889
Burundi,-2.66111111,30.52916667
Burundi,-2.67333333,30.42111111
Burundi,-2.42083333,30.54722222
Burundi,-2.32472222,30.39916667
Burundi,-2.42333333,30.19166667
Burundi,-2.43361111,30.14527778
Burundi,-2.36111111,30.04222222
Burundi,-2.34027778,29.96472222
Burundi,-2.76944444,29.8825
Burundi,-2.83194444,29.37194444
Burundi,-2.65666667,29.32222222
Burundi,-2.60361111,29.06194444
Burundi,-2.81972222,29.005
Burundi,-3.10361111,29.2575
Burundi,-4.44194444,29.42361111
Cameroon,12.02972222,15.09
Cameroon,13.06833333,14.11111111
Cameroon,12.45944444,14.22666667
Cameroon,12.21277778,14.69416667
Cameroon,11.51222222,14.6325
Cameroon,11.28277778,13.98416667
Cameroon,6.61805556,11.44694444
Cameroon,6.55277778,11.10166667
Cameroon,6.87861111,10.8375
Cameroon,7.05361111,10.17666667
Cameroon,5.81805556,8.85388889
Cameroon,4.63833333,8.51777778
Cameroon,3.09472222,9.99416667
Cameroon,2.20472222,9.80444444
Cameroon,2.16472222,11.34222222
Cameroon,2.08694444,14.89
Cameroon,1.66972222,16.08527778
Cameroon,2.97055556,16.06388889
Cameroon,6.04472222,14.39944444
Cameroon,7.77444444,15.58
Cameroon,9.63416667,13.99277778
Cameroon,9.99583333,14.24083333
Cameroon,10.00083333,15.70555556
Cameroon,12.02972222,15.09
Central African Republic,7.53138889,15.52555556
Central African Republic,6.02361111,14.42083333
Central African Republic,4.045,15.10805556
Central African Republic,2.94277778,16.06722222
Central African Republic,2.20166667,16.17666667
Central African Republic,2.81722222,18.51027778
Central African Republic,3.50611111,16.615
Central African Republic,3.47333333,18.62083333
Central African Republic,4.32555556,18.55361111
Central African Republic,4.78666667,19.00138889
Central African Republic,5.11,19.54722222
Central African Republic,4.80138889,20.29527778
Central African Republic,4.39055556,20.58833333
Central African Republic,4.11583333,22.33333333
Central African Republic,4.70305556,22.84888889
Central African Republic,4.54805556,23.385
Central African Republic,5.09972222,24.37972222
Central African Republic,4.98694444,25.28083333
Central African Republic,5.34472222,25.47611111
Central African Republic,5.16722222,25.90055556
Central African Republic,5.26416667,26.13722222
Central African Republic,5.05361111,26.48833333
Central African Republic,5.10361111,26.76138889
Central African Republic,5.0275,25.87
Central African Republic,5.13416667,26.93194444
Central African Republic,5.20416667,27.09916667
Central African Republic,5.07833333,27.43972222
Central African Republic,5.67916667,27.20611111
Central African Republic,6.365,26.31666667
Central African Republic,6.81611111,26.10416667
Central African Republic,6.99055556,26.04333333
Central African Republic,7.51305556,25.19
Central African Republic,7.80055556,25.28138889
Central African Republic,8.31555556,24.20527778
Central African Republic,8.68194444,24.25944444
Central African Republic,8.72833333,23.53972222
Central African Republic,8.99944444,23.56444444
Central African Republic,8.99166667,23.47333333
Central African Republic,9.17888889,23.5
Central African Republic,9.29055556,23.65666667
Central African Republic,9.55,23.63083333
Central African Republic,9.67111111,23.69694444
Central African Republic,9.88277778,23.67166667
Central African Republic,10.9375,22.87277778
Central African Republic,10.95694444,22.36527778
Central African Republic,10.89388889,22.18027778
Central African Republic,10.77444444,21.78888889
Central African Republic,10.31333333,21.72666667
Central African Republic,10.22527778,21.66888889
Central African Republic,10.22166667,21.52805556
Central African Republic,9.96138889,21.34222222
Central African Republic,9.98083333,21.25277778
Central African Republic,9.415,20.82916667
Central African Republic,9.12166667,20.31472222
Central African Republic,9.1225,20.06472222
Central African Republic,9.01416667,19.62916667
Central African Republic,8.98888889,19.06
Central African Republic,8.84388889,18.86555556
Central African Republic,8.66305556,19.12611111
Central African Republic,8.18138889,18.65972222
Central African Republic,8.04472222,18.60111111
Central African Republic,7.94972222,17.64361111
Central African Republic,7.54333333,16.82416667
Central African Republic,7.85916667,16.59333333
Central African Republic,7.43388889,15.785
Central African Republic,7.53138889,15.52555556
Chad,23.46555556,16.01416667
Chad,22.97305556,14.99555556
Chad,21.50611111,15.17166667
Chad,20.96777778,15.49111111
